frame,near_x,near_y,near_target_x,near_dev_m,far_x,far_y,far_target_x,far_dev_m
0.0000,-3.6632,-12.3302,0.0520,3.7153,1.7706,11.6967,-0.1006,1.8712
1.0000,-3.6160,-12.3351,0.0530,3.6690,1.8171,11.7837,-0.0994,1.9165
2.0000,-3.5748,-12.3280,0.0544,3.6292,1.8538,11.7160,-0.0983,1.9521
3.0000,-3.5308,-12.3092,0.0562,3.5869,1.9252,11.7750,-0.0973,2.0225
4.0000,-3.4640,-12.3012,0.0581,3.5221,2.0239,11.9636,-0.0956,2.1195
5.0000,-3.3867,-12.3461,0.0594,3.4461,2.0654,11.9489,-0.0932,2.1586
6.0000,-3.2684,-12.4878,0.0611,3.3294,2.1257,11.9521,-0.0891,2.2147
7.0000,-3.1653,-12.5093,0.0621,3.2274,2.1759,12.0352,-0.0862,2.2621
9.0000,-2.9568,-12.7003,0.0651,3.0219,2.2683,11.9475,-0.0795,2.3478
10.0000,-2.8659,-12.7897,0.0663,2.9322,2.3209,12.0086,-0.0766,2.3975
11.0000,-2.7507,-12.8250,0.0676,2.8183,2.3520,11.9318,-0.0734,2.4253
12.0000,-2.6491,-12.8940,0.0690,2.7181,2.3927,11.8845,-0.0703,2.4631
13.0000,-2.5874,-12.9425,0.0709,2.6583,2.4454,11.8001,-0.0685,2.5139
14.0000,-2.5673,-13.0023,0.0724,2.6397,2.5106,11.8650,-0.0676,2.5782
15.0000,-2.5225,-13.0739,0.0731,2.5957,2.5360,11.8631,-0.0661,2.6021
18.0000,-2.3859,-13.0404,0.0760,2.4619,2.6248,11.8065,-0.0628,2.6876
19.0000,-2.2773,-13.0249,0.0777,2.3550,2.6894,11.8263,-0.0600,2.7494
20.0000,-2.2017,-13.0096,0.0786,2.2803,2.7139,11.7989,-0.0581,2.7720
33.0000,-1.3228,-13.2407,0.0735,1.3963,2.5784,12.0107,-0.0345,2.6129
40.0000,-0.5631,-13.0868,0.0654,0.6285,2.3227,12.1842,-0.0149,2.3376
41.0000,-0.3935,-13.0742,0.0649,0.4585,2.3169,12.2435,-0.0104,2.3273
42.0000,-0.4071,-13.0581,0.0662,0.4733,2.3261,12.0540,-0.0108,2.3369
43.0000,-0.2597,-13.0665,0.0660,0.3258,2.3196,12.0473,-0.0069,2.3265
44.0000,-0.1186,-13.0491,0.0645,0.1831,2.2607,12.0209,-0.0031,2.2638
45.0000,-0.0269,-13.0416,0.0616,0.0885,2.1636,12.0579,-0.0007,2.1643
46.0000,0.1221,-13.0325,0.0600,0.0622,2.1267,12.1802,0.0032,2.1235
47.0000,0.3687,-13.0463,0.0589,0.3098,2.0800,12.1345,0.0098,2.0702
48.0000,0.5554,-13.0442,0.0574,0.4980,2.0227,12.1160,0.0147,2.0080
50.0000,0.8703,-13.2093,0.0549,0.8153,1.9519,12.2188,0.0228,1.9291
51.0000,0.9261,-13.2862,0.0538,0.8724,1.8854,12.0596,0.0241,1.8613
52.0000,0.9855,-13.3781,0.0526,0.9328,1.8629,12.1798,0.0254,1.8375
57.0000,1.4870,-13.7445,0.0464,1.4407,1.6213,12.0389,0.0373,1.5841
58.0000,1.5778,-13.7656,0.0453,1.5325,1.5789,12.0206,0.0394,1.5394
59.0000,1.7045,-13.7630,0.0442,1.6603,1.5610,12.1765,0.0426,1.5184
60.0000,1.8307,-13.7544,0.0430,1.7877,1.5298,12.2679,0.0458,1.4840
62.0000,1.9656,-13.7421,0.0410,1.9246,1.4664,12.3344,0.0491,1.4173
63.0000,2.0814,-13.7731,0.0397,2.0417,1.4197,12.3390,0.0519,1.3678
64.0000,2.1763,-13.8104,0.0394,2.1369,1.4105,12.3462,0.0541,1.3565
65.0000,2.2237,-13.9203,0.0393,2.1844,1.4055,12.3431,0.0548,1.3508
66.0000,2.2957,-13.9530,0.0390,2.2568,1.3943,12.3459,0.0564,1.3379
67.0000,2.3219,-14.0096,0.0391,2.2828,1.3912,12.2791,0.0568,1.3344
68.0000,2.3517,-14.0893,0.0393,2.3125,1.3935,12.2397,0.0571,1.3364
69.0000,2.3759,-14.2190,0.0392,2.3367,1.3883,12.2044,0.0572,1.3312
70.0000,2.4197,-14.3557,0.0389,2.3808,1.3787,12.2230,0.0576,1.3211
71.0000,2.4596,-14.4750,0.0385,2.4211,1.3635,12.2211,0.0580,1.3054
72.0000,2.5123,-14.5404,0.0372,2.4750,1.3304,12.3265,0.0590,1.2714
73.0000,2.5152,-14.5702,0.0373,2.4779,1.3279,12.2754,0.0589,1.2689
74.0000,2.5782,-14.6104,0.0372,2.5411,1.3152,12.2117,0.0602,1.2550
75.0000,2.6629,-14.6145,0.0370,2.6259,1.3082,12.2138,0.0621,1.2461
76.0000,2.6783,-14.6399,0.0367,2.6416,1.3015,12.2365,0.0623,1.2391
77.0000,2.6917,-14.6519,0.0365,2.6552,1.2956,12.2453,0.0626,1.2330
78.0000,2.6948,-14.6588,0.0363,2.6585,1.2893,12.2742,0.0626,1.2267
79.0000,2.7147,-14.6629,0.0362,2.6785,1.2887,12.3033,0.0631,1.2256
80.0000,2.7497,-14.6641,0.0361,2.7136,1.2897,12.3255,0.0639,1.2259
81.0000,2.7627,-14.6684,0.0362,2.7265,1.2939,12.3411,0.0641,1.2297
82.0000,2.7688,-14.6691,0.0363,2.7325,1.2991,12.3556,0.0643,1.2348
83.0000,2.8048,-14.6686,0.0363,2.7685,1.3017,12.3731,0.0651,1.2366
84.0000,2.8358,-14.6779,0.0364,2.7994,1.3047,12.3683,0.0657,1.2390
85.0000,2.8641,-14.6858,0.0365,2.8275,1.3102,12.3740,0.0663,1.2438
86.0000,2.8808,-14.6958,0.0367,2.8441,1.3154,12.3680,0.0667,1.2487
87.0000,2.8979,-14.6887,0.0370,2.8609,1.3304,12.4064,0.0671,1.2633
88.0000,2.9159,-14.6704,0.0368,2.8791,1.3237,12.4143,0.0676,1.2561
89.0000,2.9507,-14.6595,0.0367,2.9139,1.3199,12.4034,0.0684,1.2514
90.0000,2.9755,-14.6639,0.0369,2.9386,1.3254,12.4125,0.0690,1.2564
91.0000,2.9954,-14.6769,0.0369,2.9585,1.3272,12.4110,0.0694,1.2578
92.0000,3.0229,-14.6748,0.0367,2.9862,1.3237,12.4450,0.0700,1.2537
93.0000,3.0432,-14.6805,0.0368,3.0063,1.3283,12.4420,0.0704,1.2579
94.0000,3.0492,-14.6842,0.0370,3.0121,1.3345,12.4330,0.0705,1.2640
95.0000,3.0619,-14.6885,0.0378,3.0241,1.3598,12.4259,0.0708,1.2890
98.0000,3.0856,-14.7091,0.0392,3.0464,1.4172,12.4790,0.0712,1.3460
99.0000,3.1103,-14.7105,0.0403,3.0700,1.4575,12.4715,0.0718,1.3857
100.0000,3.1311,-14.7207,0.0412,3.0899,1.4922,12.4904,0.0722,1.4200
101.0000,3.1528,-14.7294,0.0422,3.1105,1.5367,12.5462,0.0726,1.4640
102.0000,3.1822,-14.7315,0.0433,3.1390,1.5721,12.5200,0.0733,1.4988
105.0000,3.2976,-14.8841,0.0450,3.2527,1.6341,12.5172,0.0750,1.5591
106.0000,3.3266,-14.9253,0.0453,3.2814,1.6459,12.5348,0.0755,1.5704
107.0000,3.3399,-15.0136,0.0457,3.2942,1.6600,12.5194,0.0753,1.5848
108.0000,3.3352,-15.0865,0.0459,3.2893,1.6761,12.5916,0.0748,1.6013
109.0000,3.3342,-15.1524,0.0469,3.2873,1.7109,12.5777,0.0744,1.6365
110.0000,3.3377,-15.1765,0.0471,3.2906,1.7199,12.5860,0.0744,1.6456
111.0000,3.3390,-15.2115,0.0478,3.2912,1.7459,12.5787,0.0742,1.6718
112.0000,3.3444,-15.2299,0.0483,3.2962,1.7679,12.6141,0.0742,1.6937
